identity,46.12168901
financial,36.57732586
payment,27.01857706
customers,26.32303953
customer,24.54898709
payments,23.22754867
digital,22.39590414
services,21.70137063
platforms,21.46246196
insurers,21.16744073
institutions,20.31028385
data,19.53516692
insurance,18.49756494
risk,16.35700572
market,15.80434784
banks,14.44881114
funding,14.39898205
bank,14.35217377
user,13.50827883
uncertainties,12.88224192
processes,12.64376023
investment,12.07217559
key,12.00175499
transactions,11.36327647
users,11.2665729
process,11.03742206
service,10.55343104
markets,10.31763529
deloitte,10.07388093
systems,9.959318204
characteristics,9.597494583
executive,9.321776486
technology,9.278119677
capital,9.091468391
transaction,9.027425378
management,8.997577981
project,8.994282753
regulatory,8.960736182
trading,8.822763734
banking,8.757210136
faster,8.651362736
alternative,8.514252796
traditional,8.488232841
products,8.404558252
providers,8.198766791
potential,8.187142192
cost,7.769086439
current,7.66774738
compliance,7.594537376
dlt,7.482030862
robo,7.164109052
business,7.010960358
end state paints,6.983075985
risks,6.893600338
investors,6.884354948
distribution,6.702663817
managers,6.633603995
lending,6.574912254
product,6.354053811
lenders,6.254312338
economic,5.919854808
transfer,5.8355039
automated,5.830057816
cards,5.707609616
attribute,5.706818855
credit,5.669298331
time,5.604670412
asset,5.555782599
fis,5.547806839
innovations,5.513620022
state,5.393460429
regulators,5.313103316
ledger,5.296053113
channel,5.24552114
card,5.18964307
global,5.180916741
costs,5.090504108
wealth,5.07797735
director,5.063579533
crowdfunding,5.000729695
project team,4.936484939
trade,4.736179943
new entrants,4.733151737
impact,4.662077467
competitive,4.654963377
summary,4.558739396
experience,4.544275936
innovation,4.466020575
solutions,4.464991285
driving,4.443057148
head,4.376958632
increased,4.369113764
platform,4.366964759
existing,4.3214828
team expresses,4.283104179
incumbent,4.248430727
provide,4.195513254
additional,4.137044841
infrastructure,4.094878765
utilizing,4.068169916
