Job Number,Job Title,Institution,URL,payment,financial,transaction,customer,manage,trade,risk,platform,digital,technology,insurance,investment,market,bank,asset,economic,data,capital,regulatory,business,service,institution,equity,lending,user,automate,system,fund,identity,information,infrastructure,fintech,product,global,model,solution,crowdfunding,future,innovation,industry,network,contract,uncertainty,credit,development,attribute,loan,security,forum,cost,authentication,analytic,ledger,ecosystem,liquidity,intermediaries,process,legal,distributed,firm,online,experience,quantitative,loss,entity,revenue,settlement,operation,bitcoin,cloud,retail,blockchain,governance,bond,validation,share,project,cryptocurrency,wealth,fraud,venture,customization,diligence,order,algorithmic,collateral,liability,audit,framework,api,strategy,demand,developer,mobile,account,ai,license,sales,policy,tax
33,Wealth Management US PAG - Team Leader,JP Morgan,https://jobs.jpmorganchase.com/ShowJob/Id/200943/Wealth-Management-US-PAG-Team-Leader/,0,5,0,0,17,0,0,0,0,0,0,8,3,21,10,0,1,1,1,8,8,2,0,0,0,0,0,1,0,0,0,0,5,3,0,4,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,6,0,0,0,0
186,Wealth Management - Multi-Asset Portfolio Manager  ED,JP Morgan,https://jobs.jpmorganchase.com/ShowJob/Id/141526/Wealth-Management-Multi-Asset-Portfolio-Manager -ED/,0,7,0,0,22,0,1,0,0,0,0,10,3,25,14,0,0,1,2,9,8,2,0,0,0,0,0,2,0,0,0,0,4,5,0,4,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,7,0,2,0,0
188,Wealth Management - Multi-Asset Investment Research  Associate,JP Morgan,https://jobs.jpmorganchase.com/ShowJob/Id/194033/Wealth-Management-Multi-Asset-Investment-Research -Associate/,0,4,0,0,29,0,0,1,0,0,0,7,1,12,14,0,1,1,1,2,4,1,3,0,0,0,0,0,0,1,0,0,2,5,1,1,0,0,0,3,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,5,0,0,0,1
189,Wealth Management - Mortgage MIS - Team Leader,JP Morgan,https://jobs.jpmorganchase.com/ShowJob/Id/195502/Wealth-Management-Mortgage-MIS-Team-Leader/,0,1,0,0,33,1,5,2,0,1,0,12,2,0,13,0,0,1,2,18,2,1,2,0,0,0,0,6,0,1,0,0,4,5,1,9,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,4,0,7,0,0,0,2,0,0,0,0,2,1,1,3,1,0,0,4,5,0,1,0,0
232,Wealth Management - Fundamental Credit Analyst - Customized Taxable Portfolios  VP/ED,JP Morgan,https://jobs.jpmorganchase.com/ShowJob/Id/194644/Wealth-Management-Fundamental-Credit-Analyst-Customized-Taxable-Portfolios -VP-ED/,0,5,0,0,32,0,1,0,0,0,0,3,0,11,10,0,0,0,1,9,17,2,0,0,0,0,0,5,0,0,0,0,1,2,1,3,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,14,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,2,7,0,0,0,0
302,Wealth Management | U.S. Private Bank | Client Service Fraud Prevention Analyst,JP Morgan,https://jobs.jpmorganchase.com/ShowJob/Id/194753/Wealth-Management-|-U.S.-Private-Bank-|-Client-Service-Fraud-Prevention-Analyst/,0,5,0,0,17,0,0,0,0,0,0,8,2,20,9,0,1,1,1,8,8,2,0,0,0,0,0,1,0,0,0,0,5,3,0,4,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,6,0,0,0,0
350,Wealth Management  Onboarding Officer  Associate/Vice President,JP Morgan,https://jobs.jpmorganchase.com/ShowJob/Id/183039/Wealth-Management -Onboarding-Officer -Associate-Vice-President/,0,3,1,1,16,0,1,2,0,0,0,24,9,9,16,0,0,0,1,6,8,3,1,0,0,0,0,5,0,0,0,0,9,5,0,4,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,5,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,3,0,2,0,0
351,Wealth Management  MIS Senior Application/Reporting Developer  Vice President,JP Morgan,https://jobs.jpmorganchase.com/ShowJob/Id/189025/Wealth-Management -MIS-Senior-Application-Reporting-Developer -Vice-President/,0,3,1,1,18,0,0,0,0,0,0,12,5,14,16,0,0,0,1,6,7,2,2,0,0,0,0,4,0,0,0,0,9,4,0,5,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0
367,Wealth Management  Hong Kong Team  Banker Assistant,JP Morgan,https://jobs.jpmorganchase.com/ShowJob/Id/182640/Wealth-Management -Hong-Kong-Team -Banker-Assistant/,0,2,3,0,24,0,3,1,0,0,0,8,3,14,4,0,2,0,0,2,24,1,0,0,0,0,4,4,0,4,0,0,12,3,3,2,0,0,0,0,1,0,0,3,2,0,2,0,0,0,0,0,0,0,1,0,4,0,0,3,0,8,0,0,0,0,1,6,0,0,2,0,0,0,0,0,5,0,7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,10,0,0,0,1
377,Wealth Management  Control Manager  Associate,JP Morgan,https://jobs.jpmorganchase.com/ShowJob/Id/187528/Wealth-Management -Control-Manager -Associate/,0,10,2,0,10,0,0,0,0,0,0,6,2,20,6,0,2,4,8,4,4,2,0,0,0,0,2,4,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,2,6,0,4,0,6,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,2,0,4,0,0,0,0,8,8,0,0,0,0
